roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-941,male,group D,associate's degree,0,1,55,100,49,96,300,B
std-942,male,group B,high school,0,0,65,85,68,61,279,B
std-943,male,group C,some high school,1,0,54,97,83,55,289,B
std-944,male,group B,bachelor's degree,0,0,72,84,67,100,323,A
std-945,male,group B,associate's degree,1,0,51,100,63,91,305,B
std-946,male,group E,associate's degree,1,0,53,50,55,61,219,C
std-947,male,group B,bachelor's degree,0,1,29,100,78,37,244,C
std-948,male,group C,high school,1,0,13,75,62,97,247,C
std-949,male,group B,some high school,1,0,14,92,48,95,249,C
std-950,male,group D,some high school,1,1,67,17,91,82,257,B
std-951,male,group E,some college,1,0,34,49,66,80,229,C
std-952,male,group D,some high school,1,1,36,50,64,67,217,C
std-953,male,group E,associate's degree,0,0,52,87,99,84,322,A
std-954,male,group D,some college,0,1,62,79,68,94,303,B
std-955,male,group D,some college,1,1,100,81,78,75,334,A
std-956,male,group C,high school,0,0,99,89,60,100,348,A
std-957,male,group A,bachelor's degree,1,0,32,86,65,94,277,B
std-958,male,group B,bachelor's degree,1,0,42,72,88,97,299,B
std-959,male,group D,master's degree,0,0,65,78,45,73,261,B
std-960,male,group B,associate's degree,1,0,20,53,57,71,201,C
std-961,male,group C,high school,1,0,36,86,100,69,291,B
std-962,male,group D,high school,1,0,43,46,47,57,193,D
std-963,male,group A,some college,1,0,7,70,78,45,200,C
std-964,male,group D,high school,1,0,67,69,61,58,255,B
std-965,male,group C,bachelor's degree,0,1,76,94,57,66,293,B
std-966,male,group D,bachelor's degree,1,0,35,51,58,68,212,C
std-967,male,group D,some college,0,0,79,65,97,53,294,B
std-968,male,group B,bachelor's degree,1,0,41,61,76,46,224,C
std-969,male,group D,some college,1,0,51,39,71,38,199,D
std-970,male,group B,bachelor's degree,0,1,63,74,66,47,250,B
std-971,male,group C,bachelor's degree,0,0,25,55,55,63,198,D
std-972,male,group E,high school,1,0,44,81,52,96,273,B
std-973,male,group B,high school,0,0,24,60,71,39,194,D
std-974,male,group C,some college,0,1,31,65,53,78,227,C
std-975,male,group E,some high school,0,0,17,45,79,38,179,D
std-976,male,group C,high school,1,0,39,71,31,42,183,D
std-977,male,group D,associate's degree,1,1,94,67,51,47,259,B
std-978,Boy,group C,high school,0,1,41,83,83,91,298,B
std-979,male,group E,associate's degree,0,0,75,74,73,95,317,B
std-980,male,group A,some high school,0,0,33,63,100,95,291,B
std-981,male,group C,bachelor's degree,1,0,64,94,88,47,293,B
std-982,male,group D,master's degree,1,1,21,64,36,76,197,D
std-983,male,group E,some high school,0,1,7,60,61,56,184,D
std-984,male,group B,some high school,1,0,28,75,63,66,232,C
std-985,male,group D,associate's degree,1,0,59,89,88,74,310,B
std-986,male,group B,some high school,1,0,66,74,55,47,242,C
std-987,male,group D,some college,1,1,78,62,62,78,280,B
std-988,male,group A,some college,1,0,47,93,95,46,281,B
std-989,male,group B,bachelor's degree,1,0,24,71,69,63,227,C
std-990,male,group B,some high school,1,0,20,85,87,57,249,C
std-991,male,group B,some high school,1,0,25,78,62,61,226,C
std-992,male,group D,high school,0,0,46,67,84,46,243,C
std-993,male,group D,some college,0,1,31,80,84,56,251,B
std-994,male,group C,bachelor's degree,0,0,45,100,38,41,224,C
std-995,male,group B,associate's degree,0,0,38,48,39,32,157,D
std-996,male,group B,master's degree,0,0,88,99,94,86,367,A
std-997,male,group B,some high school,1,1,100,64,48,61,273,B
std-998,male,group D,bachelor's degree,1,0,45,81,97,82,305,B
std-999,male,group D,master's degree,0,1,22,57,46,38,163,D
std-1000,male,group C,some high school,1,1,100,36,72,31,239,C
std-1001,male,group C,master's degree,1,0,75,90,70,91,326,A
std-1002,male,group B,high school,1,0,72,89,83,81,325,A
std-1003,male,group E,some high school,1,0,62,100,67,51,280,B
std-1004,male,group D,associate's degree,1,0,43,87,54,50,234,C
std-1005,male,group C,some high school,1,0,58,95,72,62,287,B
std-1006,male,group B,high school,0,0,19,69,94,83,265,B
std-1007,male,group B,high school,1,0,54,87,93,55,289,B
std-1008,male,group D,some college,1,1,15,74,69,41,199,D
std-1009,male,group B,bachelor's degree,0,1,87,50,80,47,264,B
std-1010,male,group C,high school,1,0,16,60,59,71,206,C
std-1011,male,group D,some college,1,1,56,67,100,81,304,B
std-1012,male,group C,high school,0,0,68,74,58,93,293,B
std-1013,male,group D,some college,0,1,92,57,92,46,287,B
std-1014,male,group E,some high school,1,0,48,32,57,93,230,C
std-1015,male,group E,high school,0,0,27,100,83,89,299,B
std-1016,male,group C,high school,0,0,32,67,32,37,168,D
std-1017,male,group C,some college,0,0,51,70,82,78,281,B
std-1018,male,group C,bachelor's degree,1,1,30,68,100,89,287,B
std-1019,male,group E,high school,1,0,26,82,49,46,203,C
std-1020,male,group B,high school,1,0,53,82,72,34,241,C
std-1021,male,group C,some high school,0,0,49,98,80,77,304,B
std-1022,male,group E,some high school,0,0,76,82,100,61,319,B
std-1023,male,group A,some college,1,0,44,69,80,40,233,C
std-1024,male,group A,some high school,1,0,26,58,48,49,181,D
std-1025,male,group C,high school,0,1,51,69,87,34,241,C
std-1026,male,group E,some college,0,0,31,40,67,31,169,D
std-1027,male,group E,bachelor's degree,0,0,58,53,24,49,184,D
std-1028,male,group B,bachelor's degree,1,0,63,58,60,84,265,B
std-1029,male,group B,high school,1,0,47,95,89,89,320,A
std-1030,male,group C,bachelor's degree,0,0,38,36,64,57,195,D
std-1031,male,group C,bachelor's degree,0,0,70,82,70,57,279,B
std-1032,male,group E,bachelor's degree,1,1,100,71,72,89,332,A
std-1033,male,group D,some high school,0,0,29,55,100,62,246,C
std-1034,male,group D,high school,0,0,62,69,68,49,248,C
std-1035,male,group D,associate's degree,0,1,69,74,46,51,240,C
std-1036,male,group D,high school,0,1,46,68,94,64,272,B
std-1037,male,group E,high school,1,0,57,72,90,35,254,B
std-1038,male,group B,master's degree,0,0,64,78,29,38,209,C
std-1039,male,group B,associate's degree,0,1,78,49,93,83,303,B
std-1040,male,group E,associate's degree,0,0,38,70,66,65,239,C
std-1041,male,group E,bachelor's degree,0,1,33,77,88,72,270,B
std-1042,male,group C,associate's degree,1,1,56,99,69,64,288,B
std-1043,male,group D,some high school,0,1,57,78,73,92,300,B
std-1044,male,group C,some high school,0,1,32,47,48,55,182,D
std-1045,male,group C,bachelor's degree,1,0,98,89,76,71,334,A
std-1046,male,group C,master's degree,1,0,22,22,52,100,196,D
std-1047,male,group C,master's degree,0,0,15,94,56,35,200,C
std-1048,male,group C,bachelor's degree,1,0,34,59,37,39,169,D
std-1049,male,group C,some high school,0,1,69,97,69,86,321,A
std-1050,male,group C,high school,0,0,48,86,84,54,272,B
std-1051,male,group A,associate's degree,1,0,9,100,48,42,199,D
std-1052,male,group D,bachelor's degree,1,0,34,72,57,85,248,C
std-1053,male,group A,high school,1,1,92,90,72,79,333,A
std-1054,male,group C,some college,0,0,58,44,57,81,240,C
std-1055,male,group B,some college,1,1,27,90,39,65,221,C
std-1056,male,group D,associate's degree,1,0,29,24,55,92,200,C
std-1057,male,group C,some college,1,0,75,56,48,88,267,B
std-1058,male,group E,associate's degree,1,0,32,56,79,100,267,B
std-1059,male,group E,high school,1,1,21,75,61,9,166,D
std-1060,male,group A,some college,1,0,23,100,56,80,259,B
std-1061,male,group E,bachelor's degree,1,1,36,38,89,48,211,C
std-1062,male,group C,bachelor's degree,1,1,59,70,76,93,298,B
std-1063,male,group E,some college,0,0,58,64,27,64,213,C
std-1064,male,group D,some high school,1,0,43,78,67,37,225,C
std-1065,male,group C,master's degree,0,0,84,100,24,24,232,C
std-1066,male,group E,associate's degree,1,1,52,50,65,52,219,C
std-1067,male,group D,some college,1,0,23,66,52,42,183,D
std-1068,male,group D,some college,0,0,38,31,93,72,234,C
std-1069,male,group C,high school,0,1,46,60,56,54,216,C
std-1070,male,group C,associate's degree,1,0,81,76,83,71,311,B
std-1071,male,group D,bachelor's degree,0,1,92,59,83,71,305,B
std-1072,male,group B,master's degree,0,0,65,52,90,87,294,B
std-1073,male,group D,high school,0,0,44,50,96,19,209,C
std-1074,male,group E,bachelor's degree,0,0,80,62,45,40,227,C
std-1075,male,group C,high school,1,1,29,100,87,93,309,B
std-1076,male,group C,master's degree,1,1,57,93,60,84,294,B
std-1077,male,group B,high school,0,1,78,71,37,42,228,C
std-1078,male,group D,some college,0,0,75,87,95,82,339,A
std-1079,male,group E,some college,1,0,47,85,60,71,263,B
std-1080,male,group E,some college,1,1,28,88,71,47,234,C
std-1081,male,group A,bachelor's degree,1,1,71,83,74,68,296,B
std-1082,male,group D,associate's degree,0,1,33,50,68,39,190,D
std-1083,male,group C,bachelor's degree,1,0,67,84,58,64,273,B
std-1084,male,group B,some high school,0,0,26,94,60,72,252,B
std-1085,male,group C,master's degree,1,1,34,47,51,79,211,C
std-1086,male,group A,some high school,0,1,42,74,63,95,274,B
std-1087,male,group C,bachelor's degree,0,1,32,87,80,87,286,B
std-1088,male,group E,some college,1,0,70,73,31,62,236,C
std-1089,male,group D,bachelor's degree,1,0,88,73,33,81,275,B
std-1090,male,group B,high school,1,0,64,100,50,100,314,B
std-1091,male,group A,some college,0,0,90,68,100,51,309,B
std-1092,male,group A,high school,1,0,59,61,69,96,285,B
std-1093,male,group D,bachelor's degree,1,1,61,97,75,79,312,B
std-1094,male,group E,bachelor's degree,1,0,39,80,67,71,257,B
std-1095,male,group C,some college,0,0,82,100,65,63,310,B
std-1096,male,group A,some high school,1,0,29,100,90,78,297,B
std-1097,male,group D,some college,1,1,67,92,70,35,264,B
std-1098,male,group E,associate's degree,1,0,30,71,10,89,200,C
std-1099,male,group C,high school,0,1,44,60,89,74,267,B
std-1100,male,group D,bachelor's degree,1,0,28,84,78,42,232,C
std-1101,male,group C,some college,1,0,64,47,98,51,260,B
std-1102,male,group B,associate's degree,0,1,95,58,44,38,235,C
std-1103,male,group D,bachelor's degree,0,1,39,79,63,33,214,C
std-1104,male,group A,master's degree,1,0,61,90,65,59,275,B
std-1105,male,group C,some college,1,1,43,100,35,35,213,C
std-1106,male,group D,associate's degree,1,0,89,75,85,60,309,B
std-1107,male,group D,some college,0,0,61,55,61,66,243,C
std-1108,male,group C,some college,1,0,81,100,86,81,348,A
std-1109,male,group D,associate's degree,1,1,45,67,67,35,214,C
std-1110,male,group C,some college,0,1,92,81,82,56,311,B
std-1111,male,group D,some high school,0,1,53,88,69,57,267,B
std-1112,male,group D,high school,0,0,33,58,62,68,221,C
std-1113,male,group D,bachelor's degree,1,0,42,81,98,99,320,A
std-1114,male,group D,high school,1,0,77,43,74,51,245,C
std-1115,male,group D,some high school,1,0,77,93,44,88,302,B
std-1116,male,group E,some college,1,0,50,68,76,50,244,C
std-1117,male,group C,associate's degree,0,0,76,80,66,91,313,B
std-1118,male,group B,some high school,1,0,44,90,79,55,268,B
std-1119,male,group C,master's degree,0,0,69,30,26,49,174,D
std-1120,male,group A,high school,0,0,100,50,92,43,285,B
std-1121,male,group D,some college,1,1,33,49,100,60,242,C
std-1122,male,group D,bachelor's degree,1,1,100,96,52,78,326,A
std-1123,male,group C,some college,1,0,20,82,29,64,195,D
std-1124,male,group A,master's degree,0,0,25,70,93,81,269,B
std-1125,male,group B,high school,0,1,82,60,62,67,271,B
std-1126,male,group D,high school,1,1,45,52,56,69,222,C
std-1127,male,group D,bachelor's degree,0,0,18,90,34,62,204,C
std-1128,male,group B,high school,0,0,62,86,95,88,331,A
std-1129,male,group C,master's degree,1,0,11,81,85,45,222,C
std-1130,male,group C,some college,1,0,76,17,20,58,171,D
std-1131,male,group B,high school,0,0,88,24,83,59,254,B
std-1132,male,group C,bachelor's degree,0,0,27,89,35,61,212,C
std-1133,male,group C,some college,0,0,59,77,66,60,262,B
std-1134,male,group C,some college,1,1,41,83,44,86,254,B
std-1135,male,group D,some college,1,1,94,96,63,76,329,A
std-1136,male,group C,bachelor's degree,0,0,86,19,65,41,211,C
std-1137,male,group C,master's degree,1,0,67,77,42,97,283,B
std-1138,male,group B,bachelor's degree,1,0,66,63,60,43,232,C
std-1139,male,group D,associate's degree,1,1,71,66,54,62,253,B
std-1140,male,group B,some high school,0,0,60,71,45,51,227,C
std-1141,male,group D,associate's degree,0,0,57,77,79,65,278,B
std-1142,male,group C,high school,1,1,44,100,65,56,265,B
std-1143,male,group C,some high school,0,0,58,94,33,87,272,B
std-1144,male,group D,bachelor's degree,1,0,35,62,58,73,228,C
std-1145,male,group B,bachelor's degree,1,1,71,61,100,84,316,B
std-1146,male,group E,some college,1,1,71,59,62,40,232,C
std-1147,male,group A,some high school,1,0,18,91,69,59,237,C
std-1148,male,group C,some high school,1,0,51,71,57,54,233,C
std-1149,male,group C,associate's degree,1,0,63,98,57,70,288,B
std-1150,male,group C,some college,1,0,81,100,66,90,337,A
std-1151,male,group E,associate's degree,0,0,50,76,42,75,243,C
std-1152,male,group B,associate's degree,1,1,39,64,50,45,198,D
std-1153,male,group E,some high school,1,1,50,87,70,48,255,B
std-1154,male,group D,high school,1,0,18,79,32,52,181,D
std-1155,male,group C,some college,1,0,82,36,74,55,247,C
std-1156,male,group C,bachelor's degree,1,1,59,43,59,74,235,C
std-1157,male,group D,some high school,1,0,69,86,74,43,272,B
std-1158,male,group C,some high school,0,0,39,92,53,100,284,B
std-1159,male,group E,some high school,1,1,63,65,33,59,220,C
std-1160,male,group D,master's degree,0,0,22,34,50,55,161,D
std-1161,male,group B,some college,1,0,16,55,46,74,191,D
std-1162,male,group C,some high school,1,0,80,25,53,47,205,C
std-1163,male,group B,bachelor's degree,1,0,67,67,47,34,215,C
std-1164,male,group D,high school,0,0,47,55,77,45,224,C
std-1165,male,group D,some college,1,1,44,75,83,98,300,B
std-1166,male,group E,some college,1,1,56,100,71,100,327,A
std-1167,male,group D,high school,1,1,14,60,70,100,244,C
std-1168,male,group B,some college,1,0,68,98,70,76,312,B
std-1169,male,group C,some college,1,0,45,42,67,19,173,D
std-1170,male,group D,some high school,0,0,61,61,51,65,238,C
std-1171,male,group C,bachelor's degree,0,0,56,56,85,67,264,B
std-1172,male,group A,associate's degree,1,1,94,74,100,52,320,A
std-1173,male,group E,some college,0,1,87,64,75,33,259,B
std-1174,male,group B,some high school,0,0,31,72,47,58,208,C
std-1175,male,group E,master's degree,0,0,67,71,60,35,233,C
std-1176,male,group B,some college,1,0,40,87,48,73,248,C
std-1177,male,group C,some college,0,1,27,78,100,100,305,B
std-1178,male,group B,associate's degree,1,1,53,61,68,39,221,C
std-1179,male,group C,some college,1,1,33,61,75,48,217,C
std-1180,male,group D,associate's degree,1,0,44,78,58,83,263,B
std-1181,male,group A,bachelor's degree,1,0,0,72,45,87,204,C
std-1182,male,group C,some high school,1,1,45,53,69,77,244,C
std-1183,male,group D,some college,0,0,81,67,65,65,278,B
std-1184,male,group D,high school,1,1,23,59,65,9,156,D
std-1185,male,group E,associate's degree,1,0,35,96,45,72,248,C
std-1186,male,group D,some college,0,1,70,68,68,44,250,B
std-1187,male,group D,some high school,0,0,58,96,59,9,222,C
std-1188,male,group B,associate's degree,1,0,35,100,100,81,316,B
std-1189,male,group D,associate's degree,1,0,43,38,52,75,208,C
std-1190,male,group B,master's degree,0,1,20,49,82,32,183,D
std-1191,male,group D,master's degree,0,1,20,78,100,48,246,C
std-1192,male,group E,some college,1,0,21,87,53,71,232,C
std-1193,male,group C,some college,1,0,73,54,56,96,279,B
std-1194,male,group C,associate's degree,1,0,82,97,53,70,302,B
std-1195,male,group C,associate's degree,1,1,57,65,64,17,203,C
std-1196,male,group A,associate's degree,0,0,36,61,35,49,181,D
std-1197,male,group A,bachelor's degree,0,0,44,86,74,91,295,B
std-1198,male,group D,high school,0,1,34,79,68,63,244,C
std-1199,male,group D,high school,0,1,57,35,93,64,249,C
std-1200,male,group B,some college,1,0,44,73,56,96,269,B
std-1201,male,group D,high school,1,0,50,83,90,69,292,B
std-1202,male,group D,bachelor's degree,1,0,61,78,62,89,290,B
std-1203,male,group D,some high school,0,1,59,59,76,57,251,B
std-1204,male,group E,master's degree,1,0,20,69,45,99,233,C
std-1205,male,group E,some college,1,1,53,94,79,76,302,B
std-1206,male,group C,some high school,1,0,76,100,54,90,320,A
std-1207,male,group A,high school,1,1,35,59,40,50,184,D
std-1208,male,group C,high school,1,0,99,93,84,100,376,A
std-1209,male,group C,bachelor's degree,1,1,36,83,48,66,233,C
std-1210,male,group B,bachelor's degree,1,1,44,57,82,63,246,C
std-1211,male,group D,some college,1,0,20,61,10,19,110,Fail
std-1212,male,group C,bachelor's degree,1,0,37,63,52,94,246,C
std-1213,male,group B,some college,0,1,39,63,60,87,249,C
std-1214,male,group A,high school,1,0,59,86,98,79,322,A
std-1215,male,group B,master's degree,1,0,38,17,75,30,160,D
std-1216,male,group B,associate's degree,0,1,43,76,83,100,302,B
std-1217,male,group A,some college,0,0,55,26,53,69,203,C
std-1218,male,group E,bachelor's degree,0,1,18,67,57,89,231,C
std-1219,male,group B,bachelor's degree,1,1,54,92,56,37,239,C
std-1220,male,group C,bachelor's degree,1,0,35,72,77,77,261,B
std-1221,male,group D,high school,1,1,100,57,67,64,288,B
std-1222,male,group E,some high school,1,0,62,71,62,85,280,B
std-1223,male,group A,some college,0,0,42,58,71,45,216,C
std-1224,male,group E,some high school,1,0,12,87,31,87,217,C
std-1225,male,group D,high school,1,1,75,93,89,100,357,A
std-1226,male,group D,bachelor's degree,1,0,62,72,23,62,219,C
std-1227,male,group D,some college,1,0,10,100,73,47,230,C
std-1228,male,group E,associate's degree,0,0,64,66,64,46,240,C
std-1229,male,group B,master's degree,1,0,34,23,55,84,196,D
std-1230,male,group C,some college,1,0,61,71,55,100,287,B
std-1231,male,group B,high school,0,0,60,89,79,69,297,B
std-1232,male,group B,some college,1,1,42,61,96,52,251,B
std-1233,male,group B,some high school,0,0,24,60,66,38,188,D
std-1234,male,group C,some high school,1,0,57,58,93,86,294,B
std-1235,male,group B,bachelor's degree,1,0,14,89,73,69,245,C
std-1236,male,group C,some college,0,1,10,92,63,45,210,C
std-1237,male,group B,some high school,0,0,67,83,96,40,286,B
std-1238,male,group D,some college,1,0,64,66,86,82,298,B
std-1239,male,group E,bachelor's degree,0,1,77,100,53,100,330,A
std-1240,male,group D,some college,1,0,16,64,71,26,177,D
std-1241,male,group B,some college,1,1,57,48,81,79,265,B
std-1242,male,group C,master's degree,1,0,61,76,85,96,318,B
std-1243,male,group E,associate's degree,1,1,42,35,43,62,182,D
std-1244,male,group C,associate's degree,1,0,15,62,78,87,242,C
std-1245,male,group D,associate's degree,1,0,88,55,82,57,282,B
std-1246,male,group C,bachelor's degree,1,0,30,89,59,87,265,B
std-1247,male,group E,some high school,1,0,35,94,52,82,263,B
std-1248,male,group D,associate's degree,1,1,67,87,47,47,248,C
std-1249,male,group C,high school,1,0,38,99,83,98,318,B
std-1250,male,group B,associate's degree,0,0,51,57,86,39,233,C
std-1251,male,group C,bachelor's degree,1,0,13,69,35,30,147,Fail
std-1252,male,group B,high school,1,0,28,78,49,37,192,D
std-1253,male,group C,some college,1,1,67,39,71,97,274,B
std-1254,male,group D,high school,1,1,35,94,59,91,279,B
std-1255,male,group E,bachelor's degree,0,1,75,86,54,35,250,B
std-1256,male,group D,some high school,0,0,61,49,86,34,230,C
std-1257,male,group E,high school,0,1,38,69,76,69,252,B
std-1258,male,group C,bachelor's degree,0,1,11,93,69,42,215,C
std-1259,male,group D,master's degree,1,1,41,98,57,23,219,C
std-1260,male,group B,high school,1,0,62,51,72,65,250,B
std-1261,male,group D,high school,0,0,72,34,75,66,247,C
std-1262,male,group D,master's degree,1,0,29,100,66,55,250,B
std-1263,male,group D,some college,0,0,59,65,64,65,253,B
std-1264,male,group C,associate's degree,0,1,66,100,64,71,301,B
std-1265,male,group D,high school,0,0,61,47,67,62,237,C
std-1266,male,group D,some college,1,1,48,60,69,9,186,D
std-1267,male,group B,some college,1,0,83,91,52,33,259,B
std-1268,male,group C,associate's degree,1,0,64,60,49,42,215,C
std-1269,male,group A,associate's degree,0,0,22,89,65,26,202,C
std-1270,male,group C,high school,1,1,91,82,60,54,287,B
std-1271,male,group B,bachelor's degree,0,0,78,65,84,58,285,B
std-1272,male,group D,associate's degree,0,0,32,40,100,90,262,B
std-1273,male,group C,some college,1,1,30,99,76,52,257,B
std-1274,male,group C,high school,1,0,36,52,82,82,252,B
std-1275,male,group D,master's degree,1,0,28,49,73,67,217,C
std-1276,male,group A,associate's degree,1,1,49,60,70,71,250,B
std-1277,male,group B,some high school,1,1,23,53,65,54,195,D
std-1278,male,group B,associate's degree,0,0,28,48,91,56,223,C
std-1279,male,group E,master's degree,1,0,18,92,60,54,224,C
std-1280,male,group D,high school,1,0,79,36,76,50,241,C
std-1281,male,group E,bachelor's degree,1,0,49,74,85,74,282,B
std-1282,male,group D,bachelor's degree,0,0,31,52,87,80,250,B
std-1283,male,group D,bachelor's degree,1,0,100,72,66,34,272,B
std-1284,male,group D,master's degree,0,0,57,28,63,39,187,D
std-1285,male,group B,master's degree,1,0,83,64,41,81,269,B
std-1286,male,group B,some college,0,1,79,89,79,90,337,A
std-1287,male,group C,bachelor's degree,1,0,50,61,100,64,275,B
std-1288,male,group C,some college,0,0,53,63,81,38,235,C
std-1289,male,group E,some high school,1,0,45,100,71,98,314,B
std-1290,male,group B,high school,0,1,66,70,35,64,235,C
std-1291,male,group C,some high school,1,1,78,54,52,66,250,B
std-1292,male,group D,bachelor's degree,1,0,30,71,72,9,182,D
std-1293,male,group E,some high school,1,0,50,88,72,31,241,C
std-1294,male,group B,some high school,0,1,38,74,60,100,272,B
std-1295,male,group A,bachelor's degree,1,1,40,38,87,56,221,C
std-1296,male,group E,some college,0,1,47,35,57,45,184,D
std-1297,male,group B,some high school,1,0,26,94,79,99,298,B
std-1298,male,group B,associate's degree,1,1,36,95,55,41,227,C
std-1299,male,group D,bachelor's degree,1,0,57,100,62,76,295,B
std-1300,male,group D,some college,0,0,15,64,42,88,209,C
std-1301,male,group D,bachelor's degree,0,1,26,66,84,49,225,C
std-1302,male,group D,some college,1,1,31,55,79,55,220,C
std-1303,male,group C,some high school,1,0,49,88,100,71,308,B
std-1304,male,group E,associate's degree,0,0,59,58,85,100,302,B
std-1305,male,group B,high school,1,0,0,50,64,56,170,D
std-1306,male,group B,high school,1,1,78,19,66,37,200,C
std-1307,male,group D,some high school,0,0,25,68,32,62,187,D
std-1308,male,group D,some college,1,1,81,86,62,97,326,A
std-1309,male,group C,bachelor's degree,1,0,86,77,89,67,319,B
std-1310,male,group B,high school,0,1,47,86,74,78,285,B
std-1311,male,group D,some college,0,0,98,68,89,57,312,B
std-1312,male,group D,high school,0,0,33,48,49,73,203,C
std-1313,male,group D,high school,1,1,76,100,87,40,303,B
std-1314,male,group C,some college,1,0,73,84,100,48,305,B
std-1315,male,group C,some college,1,1,85,79,87,57,308,B
std-1316,male,group E,master's degree,0,1,57,51,62,68,238,C
std-1317,male,group D,some college,0,0,15,42,37,66,160,D
std-1318,male,group C,some high school,1,1,93,91,64,27,275,B
std-1319,male,group D,master's degree,1,0,18,67,56,35,176,D
std-1320,male,group B,some college,0,0,37,78,46,9,170,D
std-1321,male,group C,some high school,0,0,29,51,38,9,127,Fail
std-1322,male,group D,bachelor's degree,1,0,31,86,63,48,228,C
std-1323,male,group E,master's degree,0,0,37,50,77,64,228,C
,male,group D,high school,1,0,37,100,61,94,292,B
std-1325,,group E,high school,0,0,78,82,85,63,308,B
std-1326,male,,associate's degree,0,0,38,82,100,96,316,B
std-1327,male,group E,,0,0,38,88,95,92,313,B
std-1328,male,group A,bachelor's degree,1,0,45,47,64,61,217,C
std-1329,male,group D,some college,0,,45,67,85,61,258,B
std-1330,male,group D,some college,1,1,,56,53,37,205,C
std-1331,male,group D,bachelor's degree,1,1,69,,93,53,294,B
std-1332,male,group C,high school,1,1,66,47,,60,216,C
std-1333,male,group A,bachelor's degree,1,0,28,78,42,,229,C
std-1334,male,group C,associate's degree,1,1,100,55,89,41,285,B
std-1335,male,group A,bachelor's degree,0,0,31,58,81,66,,C
std-1336,male,group E,high school,0,0,36,79,55,91,261,B
std-1337,male,group B,some college,1,0,16,40,49,64,169,D
std-1338,male,group D,high school,1,1,98,47,48,37,230,C
std-1339,male,group B,bachelor's degree,0,0,27,38,74,99,238,C
std-1340,male,group E,some college,1,0,9,58,64,50,181,D
std-1341,male,group D,associate's degree,0,0,30,87,76,68,261,B
std-1342,male,group A,some high school,1,0,69,56,80,72,277,B
std-1343,male,group B,some high school,1,0,35,59,69,100,263,B
std-1344,male,group B,master's degree,1,0,61,97,68,100,326,A
std-1345,male,group E,some college,0,1,68,59,98,95,320,A
std-1346,male,group C,high school,0,0,83,44,55,71,253,B
std-1347,male,group E,some high school,1,0,57,100,46,81,284,B
std-1348,male,group D,some high school,1,1,39,87,65,64,255,B
std-1349,male,group C,high school,0,0,29,89,61,100,279,B
std-1350,male,group E,some college,1,0,83,92,54,76,305,B
std-1351,male,group B,associate's degree,0,0,13,60,40,69,182,D
std-1352,male,group C,some college,0,0,51,57,68,41,217,C
std-1353,male,group E,high school,1,0,68,74,58,79,279,B
std-1354,male,group C,some college,1,1,56,72,76,59,263,B
std-1355,male,group E,some college,1,0,57,85,87,74,303,B
std-1356,male,group E,associate's degree,1,0,30,98,91,94,313,B
std-1357,male,group C,associate's degree,1,1,54,52,55,38,199,D
std-1358,male,group B,high school,1,1,44,74,68,41,227,C
std-1359,male,group E,some high school,0,0,33,81,34,53,201,C
std-1360,male,group B,some high school,1,0,84,62,85,62,293,B
std-1361,male,group B,bachelor's degree,1,1,79,68,81,85,313,B
std-1362,male,group C,high school,0,0,53,40,35,86,214,C
std-1363,male,group B,master's degree,0,1,29,73,72,86,260,B
std-1364,male,group C,some college,0,0,51,69,72,63,255,B
std-1365,male,group D,bachelor's degree,1,1,98,43,56,69,266,B
std-1366,male,group C,some high school,1,1,64,69,72,44,249,C
std-1367,male,group E,some college,0,0,21,92,72,80,265,B
std-1368,male,group D,some college,1,1,64,70,59,67,260,B
std-1369,male,group B,master's degree,1,0,55,78,100,72,305,B
std-1370,male,group E,high school,0,0,29,80,96,90,295,B
std-1371,male,group B,associate's degree,1,0,65,30,31,43,169,D
std-1372,male,group E,some college,1,0,33,66,64,92,255,B
std-1373,male,group E,some college,0,0,39,45,52,58,194,D
std-1374,male,group D,some high school,1,1,85,43,96,80,304,B
std-1375,male,group C,associate's degree,1,0,75,51,35,9,170,D
std-1376,male,group D,high school,1,0,79,73,76,62,290,B
std-1377,male,group C,bachelor's degree,0,1,39,92,76,55,262,B
std-1378,male,group D,master's degree,0,1,36,78,38,9,161,D
std-1379,male,group B,some college,0,1,24,100,66,36,226,C
std-1380,male,group B,high school,0,0,32,100,66,72,270,B
std-1381,male,group D,high school,0,0,54,71,48,69,242,C
std-1382,male,group E,some college,0,0,32,98,59,48,237,C
std-1383,male,group B,high school,0,0,33,76,45,49,203,C
std-1384,male,group C,bachelor's degree,1,1,81,95,90,76,342,A
std-1385,male,group D,some college,0,0,59,100,69,57,285,B
std-1386,male,group C,some college,1,1,63,88,63,60,274,B
std-1387,male,group D,some college,1,0,19,79,54,52,204,C
std-1388,male,group C,associate's degree,1,0,43,70,40,68,221,C
std-1389,male,group C,some college,1,1,48,46,49,25,168,D
std-1390,male,group B,some high school,0,0,34,86,75,48,243,C
std-1391,male,group C,bachelor's degree,0,0,88,50,59,91,288,B
std-1392,male,group D,some college,1,1,59,98,63,61,281,B
std-1393,male,group B,some college,0,0,48,79,96,24,247,C
std-1394,male,group D,some college,1,0,75,83,100,71,329,A
std-1395,male,group B,associate's degree,1,0,60,84,72,74,290,B
std-1396,male,group D,some high school,0,1,53,17,62,62,194,D
